Question,S32NQuestionLabels.Value,Answer,Count,Answer Text
S32N.Q1,How old were you on your last birthday?,2,498,20 years
S32N.Q10,"If you could go to any Army camp you wanted to, would you rather stay here or would you rather go to some other camp?",2,5002,I would rather go to some other camp
S32N.Q12,"In general, where would you like best to be stationed?",2,1539,In a camp in the South
S32N.Q12A.1,"In general, where would you like best to be stationed? Why?",2,5967,Not chosen
S32N.Q12A.10,"In general, where would you like best to be stationed? Why?",2,5857,Not chosen
S32N.Q12A.2,"In general, where would you like best to be stationed? Why?",2,6835,Not chosen
S32N.Q12A.3,"In general, where would you like best to be stationed? Why?",2,4823,Not chosen
S32N.Q12A.4,"In general, where would you like best to be stationed? Why?",2,6781,Not chosen
S32N.Q12A.5,"In general, where would you like best to be stationed? Why?",2,7357,Not chosen
S32N.Q12A.6,"In general, where would you like best to be stationed? Why?",2,7434,Not chosen
S32N.Q12A.7,"In general, where would you like best to be stationed? Why?",2,6884,Not chosen
S32N.Q12A.8,"In general, where would you like best to be stationed? Why?",2,7419,Not chosen
S32N.Q12A.9,"In general, where would you like best to be stationed? Why?",2,7103,Not chosen
S32N.Q14,Where were you living before you entered the Army?,2,691,"In a small town (fewer than 2,500 people)"
S32N.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,2,2014,About half are; half are not
S32N.Q16,What is your own rank or grade?,2,1018,Corporal or Technician 5th Grade
S32N.Q17,"If you are a private, do you want to be a noncom?",2,718,No
S32N.Q18,Do you want to be a commissioned officer?,2,2254,No
S32N.Q18A.1,"(Do you want to be a commissioned officer?) If no, why not?",2,6901,Not chosen
S32N.Q18A.10,"(Do you want to be a commissioned officer?) If no, why not?",2,7148,Not chosen
S32N.Q18A.11,"(Do you want to be a commissioned officer?) If no, why not?",2,7245,Not chosen
S32N.Q18A.12,"(Do you want to be a commissioned officer?) If no, why not?",2,7070,Not chosen
S32N.Q18A.13,"(Do you want to be a commissioned officer?) If no, why not?",2,2421,Not chosen
S32N.Q18A.2,"(Do you want to be a commissioned officer?) If no, why not?",2,7335,Not chosen
S32N.Q18A.3,"(Do you want to be a commissioned officer?) If no, why not?",2,7405,Not chosen
S32N.Q18A.4,"(Do you want to be a commissioned officer?) If no, why not?",2,7378,Not chosen
S32N.Q18A.5,"(Do you want to be a commissioned officer?) If no, why not?",2,7132,Not chosen
S32N.Q18A.6,"(Do you want to be a commissioned officer?) If no, why not?",2,7070,Not chosen
S32N.Q18A.7,"(Do you want to be a commissioned officer?) If no, why not?",2,7391,Not chosen
S32N.Q18A.8,"(Do you want to be a commissioned officer?) If no, why not?",2,7361,Not chosen
S32N.Q18A.9,"(Do you want to be a commissioned officer?) If no, why not?",2,7387,Not chosen
S32N.Q19,When did you come into the Army?,2,2171,9/1/42 - 11/30/42; 3 months up to 6 months
S32N.Q2,How far did you go in school?,2,364,Finished 4th grade
S32N.Q20,How interested are you in your Army job?,2,1355,A little but not much
S32N.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",2,1080,"Non-combat, professional or clerical"
S32N.Q22,"Do the men in your company or battery cooperate, and work well together?",2,3970,"Yes, most of the time"
S32N.Q23,"In general, what sort of a time do you have in the Army?",2,3648,It is about fifty-fifty
S32N.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,2,5072,I usually feel it is worthwhile
S32N.Q25,Do you feel proud of your company or battery?,2,2109,"Yes, fairly proud"
S32N.Q26,Are you ever worried and upset?,2,3899,I am sometimes
S32N.Q27,Do you think you can make good in the Army?,2,2150,I am not so sure I can make good
S32N.Q28,"How would you say you felt most of the time, satisfied and in good spirits or dissatisfied and in low spirits?",2,3352,I am up half the time and down half the time
S32N.Q29,How much longer do you think this war will last?,2,1031,One year
S32N.Q3,How did you come into the Army?,2,1202,I volunteered
S32N.Q30,"If it were up to you, what kind of outfit would you rather be in?",2,766,In a non-combat outfit overseas
S32N.Q31,"If your outfit went overseas, would you rather have an actual fighting job or have some other job?",2,3943,I would rather have some other job
S32N.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",2,4873,As a war worker
S32N.Q33,Do you think there will be another war in the next 25 years or so?,2,2458,No
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",2,39,Dark against light races on an international scale
S32N.Q35,"Up to now, has the war made things better or worse for your family and friends back home (such things as jobs, pay, and living conditions)?",2,1589,"Things are a little better, but not much"
S32N.Q36,Are you:,2,1455,Single and engaged
S32N.Q37,Were you married before or after entering the Army?,2,2044,Married before entering the Army
S32N.Q38,How many children do you have?,2,1599,Have no children
S32N.Q39,Is your wife now expecting a baby?,2,328,Yes
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),2,856,Engineers
S32N.Q40,Do you think that after the war soldiers in your outfit will find it easier or harder to get jobs than they did before the war?,2,1543,About the same
S32N.Q41,Do you think that after the war the training you are getting in the Army will or will not help you to get a better job than you had before you went in the Army?,2,1788,Will not help me to get a better job
