Question,Question Text,Answer,Answer Text,Count
S32W.Q1,How old were you on your last birthday?,2,20 years,448
S32W.Q1,How old were you on your last birthday?,1,19 years or younger,232
S32W.Q1,How old were you on your last birthday?,7,35 years or older,564
S32W.Q1,How old were you on your last birthday?,4,25-27,803
S32W.Q1,How old were you on your last birthday?,0,No answer,23
S32W.Q1,How old were you on your last birthday?,3,21-24,1737
S32W.Q1,How old were you on your last birthday?,5,28-29,336
S32W.Q1,How old were you on your last birthday?,6,30-34,650
S32W.Q10,"If you could go to any Army camp you wanted to, would you rather stay here or would you rather go to some other camp?",2,I would rather go to some other camp,3087
S32W.Q10,"If you could go to any Army camp you wanted to, would you rather stay here or would you rather go to some other camp?",1,I would rather stay here,1247
S32W.Q10,"If you could go to any Army camp you wanted to, would you rather stay here or would you rather go to some other camp?",0,No answer,39
S32W.Q10,"If you could go to any Army camp you wanted to, would you rather stay here or would you rather go to some other camp?",3,Undecided,420
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",2,"Any general mention of ""South""",16
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",1,"Any general mention of ""North"" (any place outside the South, anywhere a Negro's treated like a man, anywhere North, etc.)",53
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",5,"No answer, ""anywhere""",819
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",0,No code or no data,5
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",3,"Any general mention of ""West""",30
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",4,"""Anywhere as long as it's U.S.""",55
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",6,Inapplicable (Q.10 coded 1),1239
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",11,Maine,11
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",12,New Hampshire,11
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",13,Vermont,8
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",14,Massachusetts,246
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",15,Rhode Island,2
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",16,Connecticut,11
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",21,New York,135
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",22,New Jersey,134
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",23,Pennsylvania,73
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",31,Ohio,72
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",32,Indiana,63
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",33,Illinois,243
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",34,Michigan,132
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",35,Wisconsin,40
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",41,Minnesota,37
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",42,Iowa,12
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",43,Missouri,68
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",44,North Dakota,1
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",45,South Dakota,3
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",46,Nebraska,11
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",47,Kansas,19
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",51,Delaware,1
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",52,Maryland,89
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",53,District of Columbia,9
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",54,Virginia,70
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",55,West Virginia,1
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",56,North Carolina,56
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",57,South Carolina,31
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",58,Georgia,103
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",59,Florida,64
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",61,Kentucky,102
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",62,Tennessee,37
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",63,Alabama,43
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",64,Mississippi,23
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",71,Arkansas,41
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",72,Louisiana,23
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",73,Oklahoma,66
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",74,Texas,188
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",81,Montana,1
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",82,Idaho,2
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",83,Wyoming,5
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",84,Colorado,32
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",85,New Mexico,10
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",86,Arizona,8
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",87,Utah,12
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",88,Nevada,3
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",91,Washington,39
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",92,Oregon,14
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",93,California,164
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",94,Alaska,5
S32W.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",95,Hawaii,2
S32W.Q12,"In general, where would you like best to be stationed?",2,In a camp in the South,1535
S32W.Q12,"In general, where would you like best to be stationed?",1,In a camp in the North,1770
S32W.Q12,"In general, where would you like best to be stationed?",3,In a camp in the West,949
S32W.Q12,"In general, where would you like best to be stationed?",0,No code or no data,8
S32W.Q12,"In general, where would you like best to be stationed?",4,Undecided,406
S32W.Q12,"In general, where would you like best to be stationed?",5,No answer,125
S32W.Q12A.1,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,3591
S32W.Q12A.1,"(In general, where would you like best to be stationed?) Why?",1,"Closer to home, or family",1202
S32W.Q12A.10,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,3818
S32W.Q12A.10,"(In general, where would you like best to be stationed?) Why?",1,No comment,975
S32W.Q12A.2,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,4297
S32W.Q12A.2,"(In general, where would you like best to be stationed?) Why?",1,"Habit (used to the South or North, born there, etc.)",496
S32W.Q12A.3,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,4149
S32W.Q12A.3,"(In general, where would you like best to be stationed?) Why?",1,"Sectional differences (people are more friendly here, or less friendly somewhere else, better living conditions, recreation, hospitality, etc.)",644
S32W.Q12A.4,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,3137
S32W.Q12A.4,"(In general, where would you like best to be stationed?) Why?",1,Prefer climate,1656
S32W.Q12A.5,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,4697
S32W.Q12A.5,"(In general, where would you like best to be stationed?) Why?",1,Adventure (want to see places where I haven't been),96
S32W.Q12A.6,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,4785
S32W.Q12A.6,"(In general, where would you like best to be stationed?) Why?",1,Farther from home (so I won't be close enough to home to feel homesick),8
S32W.Q12A.7,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,4562
S32W.Q12A.7,"(In general, where would you like best to be stationed?) Why?",1,Restatement of preference without reasons given (I just like the South better),231
S32W.Q12A.8,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,4728
S32W.Q12A.8,"(In general, where would you like best to be stationed?) Why?",1,Better Army training (specific military training),65
S32W.Q12A.9,"(In general, where would you like best to be stationed?) Why?",2,Not chosen,4587
S32W.Q12A.9,"(In general, where would you like best to be stationed?) Why?",1,Other,206
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,2,Foreign country (Ally),1
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,1,U.S. (state not specified),102
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,0,No code or data,194
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,16,Connecticut,70
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,23,Pennsylvania,388
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,31,Ohio,236
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,11,Maine,56
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,12,New Hampshire,21
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,13,Vermont,12
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,14,Massachusetts,163
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,15,Rhode Island,25
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,21,New York,386
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,22,New Jersey,100
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,32,Indiana,186
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,33,Illinois,405
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,85,New Mexico,29
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,34,Michigan,248
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,35,Wisconsin,125
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,41,Minnesota,61
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,42,Iowa,73
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,43,Missouri,93
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,44,North Dakota,19
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,45,South Dakota,12
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,46,Nebraska,35
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,47,Kansas,26
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,51,Delaware,6
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,52,Maryland,49
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,53,District of Columbia,17
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,54,Virginia,57
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,55,West Virginia,67
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,56,North Carolina,78
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,57,South Carolina,33
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,58,Georgia,76
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,59,Florida,40
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,61,Kentucky,115
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,62,Tennessee,101
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,63,Alabama,96
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,64,Mississippi,32
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,71,Arkansas,58
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,72,Louisiana,34
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,73,Oklahoma,186
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,74,Texas,362
S32W.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,81,Montana,10
